name, Awan, Mathy, dF, F1, F2, F3, F4, F5
test2//hl_a.wav, 16.549994, 16.806856, 15.429904,514.598206, 1324.786499, 2573.239990, 3572.526367, 4374.051270, 
test2//hl_e.wav, 15.026165, 14.625153, 12.968101,410.459106, 2244.358154, 2967.125244, 4493.555176, 0.000000, 
test2//hl_i.wav, 17.475500, 16.216137, 15.219145,276.768463, 1458.241211, 2530.451660, 4040.457275, 4844.974609, 
test2//hl_o.wav, 18.413790, 17.237144, 14.317567,286.204803, 1059.896729, 2425.971924, 3666.155762, 5143.870605, 
test2//hl_u.wav, 18.328444, 17.151014, 14.623716,276.714020, 1151.976074, 2388.027588, 3691.184082, 5104.486328, 
test2//ll_a.wav, 17.789232, 16.919821, 14.646209,312.865326, 892.064880, 2887.505859, 3731.773682, 4695.360840, 
test2//ll_e.wav, 16.531755, 15.037534, 12.286657,285.886566, 1642.222290, 2885.713135, 4605.493652, 63.691334, 
test2//ll_i.wav, 15.691916, 15.026757, 12.532207,265.388763, 2257.297119, 2858.799805, 4373.402344, 0.000000, 
test2//ll_o.wav, 16.940224, 15.136893, 11.516037,394.528717, 1154.521240, 2932.648682, 4753.572266, 101.317398, 
test2//ll_u.wav, 19.640760, 15.992835, 12.135063,293.210205, 660.200989, 2238.361328, 4759.767090, 419.554474, 
test2//ml_a.wav, 17.053793, 16.281315, 14.604785,423.733765, 1265.222290, 2718.070557, 4013.126221, 3343.098633, 
test2//ml_e.wav, 15.898299, 15.167983, 13.423712,302.505219, 2212.842773, 2669.360107, 4305.029297, 558.891602, 
test2//ml_i.wav, 15.170814, 14.981133, 14.792979,192.281921, 2379.472412, 3320.719238, 4101.083984, 3650.910889, 
test2//ml_o.wav, 19.048498, 16.798700, 14.646706,264.106079, 663.232422, 2589.509277, 4081.604248, 3782.685059, 
test2//ml_u.wav, 19.292578, 18.376163, 14.817414,230.928268, 851.428528, 2360.483887, 3269.148926, 3425.113281, 
